id,Name,Fueltype,Technology,Set,Country,Capacity,lat,lon,DateIn,DateOut
mastr_SEE988182827533,mastr_SEE988182827533,Natural Gas,CCGT,PP,DE,580.0,50.088056,8.952222,1977.0,
mastr_SEE950675787617,mastr_SEE950675787617,Oil,steam turbine,PP,DE,355.0,48.761882,11.50246,1973.0,
mastr_SEE983645175053,mastr_SEE983645175053,Oil,steam turbine,PP,DE,365.0,48.761882,11.50246,1974.0,
mastr_SEE987807988154,mastr_SEE987807988154,Oil,steam turbine,PP,DE,90.0,54.29068,9.72286,2004.0,
mastr_SEE911567250299,mastr_SEE911567250299,Oil,steam turbine,PP,DE,87.0,53.96645,9.44951,1972.0,
mastr_SEE990603147649,mastr_SEE990603147649,Natural Gas,OCGT,PP,DE,20.5,50.733591,7.079003,1998.0,
mastr_SEE903153060207,mastr_SEE903153060207,Natural Gas,OCGT,PP,DE,18.339,48.022651,7.843791,2020.0,
mastr_SEE962142129998,mastr_SEE962142129998,Oil,steam turbine,PP,DE,2.0,52.532189,13.239704,1985.0,
mastr_SEE908490947860,mastr_SEE908490947860,Oil,steam turbine,PP,DE,2.0,50.943902,6.971679,2009.0,
mastr_SEE919719295143,mastr_SEE919719295143,Oil,steam turbine,PP,DE,3.211,48.694899,11.476322,1995.0,
mastr_SEE903082108223,mastr_SEE903082108223,Natural Gas,OCGT,PP,DE,6.7,53.116754,7.992985,2008.0,
mastr_SEE986936308987,mastr_SEE986936308987,Lignite,steam turbine,PP,DE,9.9,50.945486,6.665196,1961.0,
mastr_SEE975343602986,mastr_SEE975343602986,Lignite,steam turbine,PP,DE,9.9,50.945462,6.665215,1961.0,
mastr_SEE991627285584,mastr_SEE991627285584,Natural Gas,OCGT,PP,DE,4.5,50.945462,6.665215,1971.0,
mastr_SEE939627568740,mastr_SEE939627568740,Natural Gas,OCGT,PP,DE,4.259,49.343227,7.348496,1990.0,2025.0
mastr_SEE986264855863,mastr_SEE986264855863,Natural Gas,OCGT,PP,DE,4.227,49.343227,7.348496,1990.0,2025.0
mastr_SEE920360044547,mastr_SEE920360044547,Natural Gas,OCGT,PP,DE,4.453,51.93202,10.322954,2012.0,
mastr_SEE919296928137,mastr_SEE919296928137,Natural Gas,OCGT,PP,DE,112.719,49.827814,9.152091,1956.0,
mastr_SEE922877375398,mastr_SEE922877375398,Natural Gas,OCGT,PP,DE,9.023,51.280073,12.767234,2013.0,
mastr_SEE945933440847,mastr_SEE945933440847,Natural Gas,OCGT,PP,DE,5.5,51.263502,7.236474,1963.0,
mastr_SEE911850657996,mastr_SEE911850657996,Hard Coal,steam turbine,PP,DE,6.5,51.368132,6.66235,1963.0,2026.0
mastr_SEE994134561226,mastr_SEE994134561226,Hard Coal,steam turbine,PP,DE,8.2,51.368132,6.66235,1964.0,2026.0
mastr_SEE988421065542,mastr_SEE988421065542,Hard Coal,steam turbine,PP,DE,15.2,51.368132,6.66235,1964.0,
mastr_SEE980525088564,mastr_SEE980525088564,Natural Gas,OCGT,PP,DE,32.2,51.368132,6.66235,1971.0,
mastr_SEE993301547841,mastr_SEE993301547841,Natural Gas,OCGT,PP,DE,29.0,51.368132,6.66235,1967.0,
mastr_SEE936873341158,mastr_SEE936873341158,Natural Gas,OCGT,PP,DE,4.429,50.872031,13.394116,1976.0,
mastr_SEE958711841521,mastr_SEE958711841521,Natural Gas,OCGT,PP,DE,5.2,50.872031,13.394116,1996.0,
mastr_SEE930522848685,mastr_SEE930522848685,Natural Gas,OCGT,PP,DE,37.0,51.319092,12.005717,1994.0,
mastr_SEE980823248912,mastr_SEE980823248912,Natural Gas,OCGT,PP,DE,25.929,48.905598,11.903115,2014.0,
mastr_SEE921449009914,mastr_SEE921449009914,Natural Gas,OCGT,PP,DE,17.773,51.050518,12.116093,2004.0,
mastr_SEE940809994431,mastr_SEE940809994431,Natural Gas,OCGT,PP,DE,4.466,53.914109,9.16206,1987.0,
mastr_SEE917033307511,mastr_SEE917033307511,Natural Gas,OCGT,PP,DE,13.3,51.368132,6.66235,1967.0,2026.0
mastr_SEE910161577337,mastr_SEE910161577337,Hard Coal,steam turbine,PP,DE,17.097,51.368132,6.66235,1993.0,
mastr_SEE916683222854,mastr_SEE916683222854,Hard Coal,steam turbine,PP,DE,7.225,51.368132,6.66235,1964.0,
mastr_SEE921457906878,mastr_SEE921457906878,Natural Gas,OCGT,PP,DE,4.6,48.991681,12.090266,2002.0,
mastr_SEE922107107577,mastr_SEE922107107577,Natural Gas,OCGT,PP,DE,4.281,48.773778,8.340198,2013.0,
mastr_SEE994422897143,mastr_SEE994422897143,Natural Gas,OCGT,PP,DE,11.6,48.750065,9.110171,1968.0,
mastr_SEE931585895203,mastr_SEE931585895203,Natural Gas,OCGT,PP,DE,2.55,51.422915,8.029844,1964.0,
mastr_SEE959858570855,mastr_SEE959858570855,Natural Gas,OCGT,PP,DE,38.4,51.298946,11.998618,1998.0,
mastr_SEE946736241334,mastr_SEE946736241334,Natural Gas,OCGT,PP,DE,78.302,48.82359,10.115459,2021.0,
mastr_SEE902796244388,mastr_SEE902796244388,Natural Gas,OCGT,PP,DE,11.0,51.983469,9.82186,1970.0,
mastr_SEE924482594133,mastr_SEE924482594133,Natural Gas,OCGT,PP,DE,7.996,52.365868,13.527023,2011.0,
mastr_SEE975361659900,mastr_SEE975361659900,Natural Gas,CCGT,PP,DE,595.0,51.222827,6.731094,2016.0,
mastr_SEE932949912406,mastr_SEE932949912406,Oil,steam turbine,PP,DE,14.52,52.366763,13.528782,2010.0,
mastr_SEE951741488056,mastr_SEE951741488056,Oil,steam turbine,PP,DE,2.0,51.324459,11.994432,2005.0,
mastr_SEE950941151234,mastr_SEE950941151234,Oil,steam turbine,PP,DE,2.0,51.32448,11.994468,2008.0,
mastr_SEE957083466325,mastr_SEE957083466325,Natural Gas,OCGT,PP,DE,100.0,51.222827,6.731094,2000.0,
mastr_SEE960507530304,mastr_SEE960507530304,Natural Gas,OCGT,PP,DE,11.3,48.750065,9.110171,1969.0,
mastr_SEE961687984079,mastr_SEE961687984079,Natural Gas,OCGT,PP,DE,4.9,48.750065,9.110171,1988.0,
mastr_SEE967243760361,mastr_SEE967243760361,Natural Gas,OCGT,PP,DE,13.49,51.663482,10.357415,1983.0,
mastr_SEE967390177067,mastr_SEE967390177067,Oil,steam turbine,PP,DE,15.0,48.145818,8.80643,2000.0,
mastr_SEE960935066536,mastr_SEE960935066536,Natural Gas,OCGT,PP,DE,7.5,51.469695,6.64674,1974.0,
mastr_SEE989934206842,mastr_SEE989934206842,Oil,steam turbine,PP,DE,2.1,48.144058,11.554641,1980.0,
mastr_SEE946501569267,mastr_SEE946501569267,Natural Gas,OCGT,PP,DE,12.0,51.469695,6.64674,1995.0,
mastr_SEE923244371197,mastr_SEE923244371197,Natural Gas,OCGT,PP,DE,63.54,51.351554,12.378325,1996.0,
mastr_SEE936196276359,mastr_SEE936196276359,Natural Gas,OCGT,PP,DE,64.603,51.351546,12.378666,2022.0,
mastr_SEE952340290002,mastr_SEE952340290002,Natural Gas,OCGT,PP,DE,3.343,50.872031,13.394116,1976.0,
mastr_SEE906061539261,mastr_SEE906061539261,Natural Gas,OCGT,PP,DE,4.9,48.750065,9.110171,1988.0,
mastr_SEE956146813458,mastr_SEE956146813458,Oil,steam turbine,PP,DE,2.56,48.783942,9.172176,2012.0,
mastr_SEE989925634845,mastr_SEE989925634845,Natural Gas,OCGT,PP,DE,4.425,51.305975,12.280622,2021.0,
mastr_SEE951117154585,mastr_SEE951117154585,Oil,steam turbine,PP,DE,3.056,50.136115,8.67547,1972.0,
mastr_SEE971876915975,mastr_SEE971876915975,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE921008505376,mastr_SEE921008505376,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE916894674336,mastr_SEE916894674336,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE910080930862,mastr_SEE910080930862,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE929474411627,mastr_SEE929474411627,Natural Gas,OCGT,PP,DE,4.425,51.372448,12.343421,2021.0,
mastr_SEE960430412456,mastr_SEE960430412456,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE912978354040,mastr_SEE912978354040,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE905054165586,mastr_SEE905054165586,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE970143794190,mastr_SEE970143794190,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE955085348786,mastr_SEE955085348786,Natural Gas,OCGT,PP,DE,3.772,51.127622,13.712276,2004.0,
mastr_SEE934042702663,mastr_SEE934042702663,Oil,steam turbine,PP,DE,2.32,50.034293,8.247443,2020.0,
mastr_SEE934706805181,mastr_SEE934706805181,Oil,steam turbine,PP,DE,18.9022,48.851301,8.901349,2016.0,
mastr_SEE957917961415,mastr_SEE957917961415,Natural Gas,OCGT,PP,DE,2.35,54.358774,11.068151,2000.0,
mastr_SEE931197865137,mastr_SEE931197865137,Natural Gas,OCGT,PP,DE,5.163,53.914109,9.16206,1996.0,
